"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19109","Add new Media Links and verify they are visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:27:17 UTC 2024","passed","Fri Dec 20 14:27:36 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","12446","Verify Footer items are visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:27:36 UTC 2024","passed","Fri Dec 20 14:27:49 UTC 2024","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","1","Verify tags are created and assigned to news","Desktop Edge (en)","Fri Dec 20 14:24:32 UTC 2024","skipped","Fri Dec 20 14:24:32 UTC 2024","","Parametrized/CreateTagTest.spec.js","",""
"","16748","Add new Media Links and verify they are visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:11 UTC 2024","passed","Fri Dec 20 14:29:27 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","17650","Edit Quick Link data and verify it`s visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:27:24 UTC 2024","passed","Fri Dec 20 14:27:41 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","19201","Edit Quick Link data and verify it`s visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:40 UTC 2024","passed","Fri Dec 20 14:29:59 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","0","Verify Leadership is present and reflects updates after changes","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:28:50 UTC 2024","skipped","Fri Dec 20 14:28:50 UTC 2024","Leadership tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","20270","Edit Losses data and verify new data is visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:28:25 UTC 2024","passed","Fri Dec 20 14:28:45 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","11643","Verify Quick Links are visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:27:12 UTC 2024","passed","Fri Dec 20 14:27:24 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","9033","Verify Losses data is visible on the page","Desktop Edge (uk)","Fri Dec 20 14:23:20 UTC 2024","passed","Fri Dec 20 14:23:29 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","16070","Verify Footer items are visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:29:39 UTC 2024","passed","Fri Dec 20 14:29:55 UTC 2024","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","19955","Verify Media Links are present and reflect updates after changes","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:28:50 UTC 2024","passed","Fri Dec 20 14:29:10 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","0","Verify tags are created and assigned to news","Desktop Edge (uk)","Fri Dec 20 14:22:38 UTC 2024","skipped","Fri Dec 20 14:22:38 UTC 2024","","Parametrized/CreateTagTest.spec.js","",""
"","1","Verify Leadership is present and reflects updates after changes","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:59 UTC 2024","skipped","Fri Dec 20 14:26:59 UTC 2024","Leadership tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","23929","Verify Innovative Project is created and visible on the page","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:09 UTC 2024","passed","Fri Dec 20 14:26:33 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","1","Verify Leadership is present and reflects updates after changes","Desktop Edge (en)","Fri Dec 20 14:24:32 UTC 2024","skipped","Fri Dec 20 14:24:32 UTC 2024","Leadership tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","10831","Verify Losses More details button redirects to the News page with appropriate tag","Desktop Edge (uk)","Fri Dec 20 14:23:39 UTC 2024","passed","Fri Dec 20 14:23:50 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","13081","Verify Footer items are visible on the page","Desktop Edge (uk)","Fri Dec 20 14:23:07 UTC 2024","passed","Fri Dec 20 14:23:20 UTC 2024","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","28565","Verify Innovative Project is created and visible on the page","Desktop Edge (uk)","Fri Dec 20 14:21:21 UTC 2024","passed","Fri Dec 20 14:21:49 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","19163","Verify Innovative Project is created and visible on the page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:28:46 UTC 2024","passed","Fri Dec 20 14:29:06 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","16164","Edit Innovative Project and verify new data is visible on the page","Desktop Edge (uk)","Fri Dec 20 14:22:21 UTC 2024","passed","Fri Dec 20 14:22:37 UTC 2024","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","0","Verify tags are created and assigned to news","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:59 UTC 2024","skipped","Fri Dec 20 14:26:59 UTC 2024","","Parametrized/CreateTagTest.spec.js","",""
"","17859","Verify Media Links are present and reflect updates after changes","Mobile Safari - iPhone 12 (uk)","Fri Dec 20 14:26:59 UTC 2024","passed","Fri Dec 20 14:27:17 UTC 2024","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","11446","Verify Footer items are visible on the page","Desktop Edge (en)","Fri Dec 20 14:25:10 UTC 2024","passed","Fri Dec 20 14:25:21 UTC 2024","Footer tests","Parametrized/VerifyFooterTest.spec.js","",""
"","21751","Verify Employees are created and present on appropriate page","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:27:51 UTC 2024","passed","Fri Dec 20 14:28:12 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","12223","Edit Quick Link data and verify it`s visible on the page","Desktop Edge (en)","Fri Dec 20 14:25:09 UTC 2024","passed","Fri Dec 20 14:25:22 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","9461","Verify Quick Links are visible on the page","Desktop Edge (uk)","Fri Dec 20 14:22:58 UTC 2024","passed","Fri Dec 20 14:23:07 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","13985","Edit Quick Link data and verify it`s visible on the page","Desktop Edge (uk)","Fri Dec 20 14:23:07 UTC 2024","passed","Fri Dec 20 14:23:21 UTC 2024","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","19260","Edit Employee and verify new data is visible on the page","Desktop Edge (en)","Fri Dec 20 14:23:56 UTC 2024","passed","Fri Dec 20 14:24:15 UTC 2024","Employee tests","Parametrized/CreateAndEditEmployeeTest.spec.js","",""
"","13857","Verify Losses More details button redirects to the News page with appropriate tag","Mobile Safari - iPhone 12 (en)","Fri Dec 20 14:30:20 UTC 2024","passed","Fri Dec 20 14:30:34 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","11080","Verify Losses More details button redirects to the News page with appropriate tag","Desktop Edge (en)","Fri Dec 20 14:25:40 UTC 2024","passed","Fri Dec 20 14:25:52 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","17577","Verify file can be uploaded","NonParametrized","Fri Dec 20 14:30:00 UTC 2024","passed","Fri Dec 20 14:30:17 UTC 2024","","NonParametrized/UploadFileTest.spec.js","",""
"","9694","Verify Losses data is visible on the page","Desktop Edge (en)","Fri Dec 20 14:25:21 UTC 2024","passed","Fri Dec 20 14:25:31 UTC 2024","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
