"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","Verify if documents are sorted by acceptance date","Mobile (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","13271","Verify if Explain Articles page opened after clicking on All Explain button","Mobile (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","31183","Verify Leadership is present and reflects updates after changes","Desktop (en)","2026-02-02","broken","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","10716","Verify Innovative Project is created and visible on the page","Desktop (en)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","30344","Verify titles correctness based on tags selected","Mobile (uk)","2026-02-02","broken","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","14986","Verify Employees are created and present on appropriate page","Mobile (uk)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","12670","Verify Losses -> More Details button configurations","Mobile (uk)","2026-02-02","failed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","13296","Verify Employees are created and present on appropriate page","Desktop (uk)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","26616","Verify Social Media widget is displayed correctly on Document page","Desktop (uk)","2026-02-02","passed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","0","Edit Services and verify changes are present on Services page","Desktop (en)","2026-02-02","skipped","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","8219","Verify Highlighted news are visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","796","Verify if Child Article works correctly","Desktop (en)","2026-02-02","skipped","2026-02-02","Article tests","Parametrized/CreateAndEditArticleTest.spec.js","",""
"","0","Edit Losses data and verify new data is visible on the page","Mobile (en)","2026-02-02","skipped","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","13122","Edit Recent News and verify changes are present on Main page","Desktop (uk)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","18033","Verify Recent news are visible on the Main page","Mobile (uk)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","406","Verify Card widget is displayed correctly on Document page","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","9144","Verify Innovative Project is created and visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","InnovativeProject tests","Parametrized/CreateAndEditInnovativeProjectTest.spec.js","",""
"","10573","Verify if Explain Articles with highlight true displays on Main Page","Mobile (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","11566","Verify Losses data is visible on the page","Desktop (en)","2026-02-02","passed","2026-02-02","Losses tests","Parametrized/VerifyLossesTest.spec.js","",""
"","21630","Verify Leadership is present and reflects updates after changes","Desktop (uk)","2026-02-02","failed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","1","Add new Media Links and verify they are working on the page","Desktop (uk)","2026-02-02","skipped","2026-02-02","MediaLinks tests","Parametrized/VerifyAndEditMediaLinksTest.spec.js","",""
"","0","Verify if Other Articles widget is displayed correctly","Mobile (en)","2026-02-02","skipped","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","380","Verify titles correctness based on tags selected","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","24584","Verify accordion widget is displayed correctly on Document page","Desktop (uk)","2026-02-02","failed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","10289","Verify if only 3 Explain Articles displayed on Main Page","Mobile (en)","2026-02-02","passed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","7179","Verify Highlighted news are visible on the page","Desktop (uk)","2026-02-02","passed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","17349","Verify if search validation message displays correctly","Desktop (uk)","2026-02-02","passed","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","16379","Verify All news page","Mobile (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","13762","Edit Employee and verify new data is visible on the page","Mobile (uk)","2026-02-02","passed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","1","Verify Quick Links are visible on the page","Mobile (en)","2026-02-02","failed","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","1","Edit Quick Link data and verify it`s visible on the page","Mobile (en)","2026-02-02","skipped","2026-02-02","QuickLinks tests","Parametrized/VerifyAndEditQuickLinksTest.spec.js","",""
"","8756","Verify if documents are sorted by acceptance date","Desktop (uk)","2026-02-02","passed","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","30156","Verify Leadership is present and reflects updates after changes","Mobile (en)","2026-02-02","failed","2026-02-02","Employee tests","Parametrized/CreateAndEditLeadershipTest.spec.js","",""
"","11435","Verify if Email widget is displayed correctly on Explain Articles Page","Mobile (en)","2026-02-02","failed","2026-02-02","Explain Article tests","Parametrized/CreateAndEditExplainArticleTest.spec.js","",""
"","9866","Verify All news page","Desktop (en)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","1","Verify Highlighted news are visible on the page","Mobile (en)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","13564","Edit Recent News and verify changes are present on Main page","Mobile (uk)","2026-02-02","failed","2026-02-02","News tests","Parametrized/CreateAndEditNewsTest.spec.js","",""
"","1","Verify all existing and newly created Service`s categories and items are visible on Main page","Mobile (en)","2026-02-02","failed","2026-02-02","Services tests","Parametrized/CreateAndEditServicesTests.spec.js","",""
"","31239","Verify if search results sorted by DESC","Mobile (uk)","2026-02-02","broken","2026-02-02","Search tests","Parametrized/VerifySearchTest.spec.js","",""
"","30889","Verify document search work correctness","Mobile (uk)","2026-02-02","broken","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
"","401","Verify document page is displayed correctly","Desktop (en)","2026-02-02","skipped","2026-02-02","Document tests","Parametrized/CreateAndEditDocumentTest.spec.js","",""
